acc_scores,f1_scores,fold_number,dataset_name,classes,dataset_len,percent_labeled_samples,exec_time_secs_9_runs
0.7863446353924756,0.3341039315046324,0,hate_speech_18_Train,4,10763,0.6,340.8105103969574
0.7566186716209939,0.3388827727232008,1,hate_speech_18_Train,4,10763,0.6,340.8105103969574
0.7784486762656758,0.3941125179334225,2,hate_speech_18_Train,4,10763,0.6,340.8105103969574
0.7894981412639405,0.4124306408113105,3,hate_speech_18_Train,4,10763,0.6,340.8105103969574
0.7634758364312267,0.3589847249994855,4,hate_speech_18_Train,4,10763,0.6,340.8105103969574
0.7765908035299582,0.4299802436305897,0,hate_speech_18_Train,4,10763,0.7,340.8105103969574
0.7454714352066883,0.3539977231535544,1,hate_speech_18_Train,4,10763,0.7,340.8105103969574
0.784486762656758,0.3803810064468979,2,hate_speech_18_Train,4,10763,0.7,340.8105103969574
0.79182156133829,0.3990548962820835,3,hate_speech_18_Train,4,10763,0.7,340.8105103969574
0.7588289962825279,0.3446739082940747,4,hate_speech_18_Train,4,10763,0.7,340.8105103969574
0.7886669763121226,0.4858918361372942,0,hate_speech_18_Train,4,10763,0.8,340.8105103969574
0.7556897352531352,0.3612438941320929,1,hate_speech_18_Train,4,10763,0.8,340.8105103969574
0.7765908035299582,0.4101335124176646,2,hate_speech_18_Train,4,10763,0.8,340.8105103969574
0.7964684014869888,0.445671854268023,3,hate_speech_18_Train,4,10763,0.8,340.8105103969574
0.7602230483271375,0.3476196657702153,4,hate_speech_18_Train,4,10763,0.8,340.8105103969574
0.7909893172317696,0.4866681033035426,0,hate_speech_18_Train,4,10763,0.9,340.8105103969574
0.7505805852299118,0.3763068586507405,1,hate_speech_18_Train,4,10763,0.9,340.8105103969574
0.7742684626103112,0.4321012412320504,2,hate_speech_18_Train,4,10763,0.9,340.8105103969574
0.7946096654275093,0.4252483029308004,3,hate_speech_18_Train,4,10763,0.9,340.8105103969574
0.7602230483271375,0.3601899068089516,4,hate_speech_18_Train,4,10763,0.9,340.8105103969574
0.786809103576405,0.4863339003308716,0,hate_speech_18_Train,4,10763,1.0,340.8105103969574
0.7533673943334882,0.3782849199015308,1,hate_speech_18_Train,4,10763,1.0,340.8105103969574
0.7807710171853228,0.4309615183725661,2,hate_speech_18_Train,4,10763,1.0,340.8105103969574
0.7904275092936803,0.4288522024820323,3,hate_speech_18_Train,4,10763,1.0,340.8105103969574
0.7630111524163569,0.3628132259962632,4,hate_speech_18_Train,4,10763,1.0,340.8105103969574
0.8039867109634552,0.3391999999999999,0,hate_speech_18_bin_Train,2,10534,0.1,79.50089573860168
